Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town,CENSO DE HEMBRAS REPRODUCTORAS MAYORES DE 24 MESES,CENSO DE ANIMALES EN CEBADEROS,TotAnimals
Castilla León,Valladolid,Vega de Valdetronco,41.59465,-5.113495,712.2534,130,78,66,POINT (-5.113494999999999 41.59465),CENTRO,VEGA DE VALDETRONCO,12.0,0.0,12.0
Castilla León,Valladolid,Velascálvaro,41.23012,-4.972027,744.2465,182,110,87,POINT (-4.972027 41.23012),SUR,VELASCALVARO,0.0,0.0,0.0
Castilla León,Valladolid,Velilla,41.55871,-5.004748,784.9809,119,64,63,POINT (-5.004748 41.55871),CENTRO,VELILLA,0.0,525.0,525.0
Castilla León,Valladolid,Velliza,41.57899000000001,-4.94632,776.5533,112,78,52,POINT (-4.94632 41.57899),CENTRO,VELLIZA,93.0,0.0,93.0
Castilla León,Valladolid,Ventosa de la Cuesta,41.41161,-4.827693,764.8138,128,90,61,POINT (-4.827693 41.41161),SUR,VENTOSA DE LA CUESTA,0.0,0.0,0.0
Castilla León,Valladolid,Viana de Cega,41.52876,-4.752031,691.8729,1989,1001,942,POINT (-4.752031 41.52876),CENTRO,VIANA DE CEGA,0.0,93.0,93.0
Castilla León,Valladolid,Villabáñez,41.63094,-4.520939,740.6144,527,289,246,POINT (-4.520939 41.63094),CENTRO,VILLABANEZ,0.0,0.0,0.0
Castilla León,Valladolid,Villabaruz de Campos,42.01052,-4.996163,751.3663,42,20,20,POINT (-4.996163 42.01052),TIERRA DE CAMPOS,VILLABARUZ DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Villabrágima,41.82352,-5.11295,727.4385,1085,594,520,POINT (-5.11295 41.82352),TIERRA DE CAMPOS,VILLABRAGIMA,920.0,3288.0,4208.0
Castilla León,Valladolid,Villacarralón,42.18966,-5.044178,790.7327,83,54,45,POINT (-5.044178 42.18966),TIERRA DE CAMPOS,VILLACARRALON,0.0,0.0,0.0
Castilla León,Valladolid,Villacid de Campos,42.08236,-5.124511,779.7687,90,52,41,POINT (-5.124511 42.08235999999999),TIERRA DE CAMPOS,VILLACID DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Villaco,41.74004,-4.2690730000000014,783.8756,104,64,44,POINT (-4.269073000000001 41.74004),CENTRO,VILLACO,0.0,180.0,180.0
Castilla León,Valladolid,Villafrades de Campos,42.07774000000001,-4.97097,763.1504,92,40,45,POINT (-4.970969999999999 42.07774000000001),TIERRA DE CAMPOS,VILLAFRADES DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Villafranca de Duero,41.43247,-5.302143,657.0,313,196,179,POINT (-5.302143 41.43247),SUR,VILLAFRANCA DE DUERO,67.0,0.0,67.0
Castilla León,Valladolid,Villafrechós,41.89216,-5.218182,744.8799,519,278,241,POINT (-5.218182 41.89216),TIERRA DE CAMPOS,VILLAFRECHOS,0.0,293.0,293.0
Castilla León,Valladolid,Villafuerte,41.73453,-4.323468,819.951,117,66,60,POINT (-4.323468 41.73453),CENTRO,VILLAFUERTE,0.0,0.0,0.0
Castilla León,Valladolid,Villagarcía de Campos,41.78133,-5.193034,719.0961,373,218,166,POINT (-5.193034 41.78133),TIERRA DE CAMPOS,VILLAGARCIA DE CAMPOS,367.0,26.0,393.0
Castilla León,Valladolid,Villagómez la Nueva,42.15588,-5.1420629999999985,754.6724,68,39,35,POINT (-5.142062999999999 42.15588),TIERRA DE CAMPOS,VILLAGOMEZ LA NUEVA,0.0,0.0,0.0
Castilla León,Valladolid,Villalán de Campos,42.0142,-5.236223000000002,755.7052,44,29,22,POINT (-5.236223000000001 42.0142),TIERRA DE CAMPOS,VILLALAN DE CAMPOS,0.0,153.0,153.0
Castilla León,Valladolid,Villalar de los Comuneros,41.55013,-5.137988,710.9124,464,234,232,POINT (-5.137988 41.55013),CENTRO,VILLALAR DE LOS COMUNEROS,37.0,0.0,37.0
Castilla León,Valladolid,Villalba de la Loma,42.17392,-5.1906300000000005,769.6681,58,28,26,POINT (-5.190630000000001 42.17392),TIERRA DE CAMPOS,VILLALBA DE LA LOMA,0.0,0.0,0.0
Castilla León,Valladolid,Villalba de los Alcores,41.86347,-4.860106,847.8523,456,263,225,POINT (-4.860106 41.86347),CENTRO,VILLALBA DE LOS ALCORES,269.0,153.0,422.0
Castilla León,Valladolid,Villalbarba,41.60315,-5.213946,719.6545,134,68,70,POINT (-5.213946 41.60315),CENTRO,VILLALBARBA,119.0,0.0,119.0
Castilla León,Valladolid,Villalón de Campos,42.09926,-5.033988,788.3907,1835,953,962,POINT (-5.033988 42.09926),TIERRA DE CAMPOS,VILLALON DE CAMPOS,126.0,251.0,377.0
Castilla León,Valladolid,Villamuriel de Campos,41.94611,-5.207433999999999,738.6995,64,40,41,POINT (-5.207433999999999 41.94611),TIERRA DE CAMPOS,VILLAMURIEL DE CAMPOS,0.0,0.0,0.0
Castilla León,Valladolid,Villán de Tordesillas,41.59267,-4.922626,751.797,139,77,67,POINT (-4.922626 41.59267),CENTRO,VILLAN DE TORDESILLAS,0.0,367.0,367.0
Castilla León,Valladolid,Villanubla,41.69872,-4.841893,842.8672,2364,1078,989,POINT (-4.841893 41.69872),CENTRO,VILLANUBLA,0.0,0.0,0.0
Castilla León,Valladolid,Villanueva de Duero,41.51768,-4.868396,691.0079,1207,626,567,POINT (-4.868396 41.51768),SUR,VILLANUEVA DE DUERO,262.0,78.0,340.0
Castilla León,Valladolid,Villanueva de la Condesa,42.1483,-5.095984,786.3748,65,40,36,POINT (-5.095984 42.1483),TIERRA DE CAMPOS,VILLANUEVA DE LA CONDESA,0.0,0.0,0.0
Castilla León,Valladolid,Villanueva de los Caballeros,41.7588,-5.246779,712.459,214,120,118,POINT (-5.246779 41.7588),TIERRA DE CAMPOS,VILLANUEVA DE LOS CABALLEROS,447.0,0.0,447.0
Castilla León,Valladolid,Villanueva de los Infantes,41.70337,-4.483085,743.701,118,72,50,POINT (-4.483085 41.70337),CENTRO,VILLANUEVA DE LOS INFANTES,42.0,40.0,82.0
Castilla León,Valladolid,Villanueva de San Mancio,41.92846,-5.012552,744.4049,110,67,54,POINT (-5.012551999999999 41.92846),TIERRA DE CAMPOS,VILLANUEVA DE SAN MANCIO,0.0,164.0,164.0
Castilla León,Valladolid,Villardefrades,41.72253,-5.255296,726.2296,190,108,89,POINT (-5.255296 41.72253),TIERRA DE CAMPOS,VILLARDEFRADES,42.0,0.0,42.0
Castilla León,Valladolid,Villarmentero de Esgueva,41.68486,-4.546052,729.2760000000002,108,56,50,POINT (-4.546052 41.68486),CENTRO,VILLARMENTERO DE ESGUEVA,0.0,0.0,0.0
Castilla León,Valladolid,Villasexmir,41.63921,-5.0655230000000016,725.1,91,50,43,POINT (-5.065523000000001 41.63921),CENTRO,VILLASEXMIR,0.0,0.0,0.0
Castilla León,Valladolid,Villavaquerín,41.66353,-4.461882,765.7326,201,115,94,POINT (-4.461882 41.66353),CENTRO,VILLAVAQUERIN,53.0,17.0,70.0
Castilla León,Valladolid,Villavellid,41.69168,-5.276934,770.2872,63,39,34,POINT (-5.276934 41.69168),TIERRA DE CAMPOS,VILLAVELLID,0.0,0.0,0.0
Castilla León,Valladolid,Villaverde de Medina,41.30785,-5.025022,733.2005,540,302,251,POINT (-5.025022 41.30785),SUR,VILLAVERDE DE MEDINA,58.0,2.0,60.0
Castilla León,Valladolid,Villavicencio de los Caballeros,42.05785,-5.23492,722.9398,250,132,128,POINT (-5.23492 42.05785),TIERRA DE CAMPOS,VILLAVICENCIO DE LOS CABALLEROS,0.0,57.0,57.0
Castilla León,Valladolid,Viloria,41.4459,-4.385375,873.8669,366,209,178,POINT (-4.385375 41.4459),SURESTE,VILORIA,0.0,0.0,0.0
Castilla León,Valladolid,Wamba,41.67567,-4.916654,787.3964,355,195,168,POINT (-4.916654 41.67567),CENTRO,WAMBA,0.0,0.0,0.0
Castilla León,Valladolid,Zaratán,41.661,-4.78407,752.6955,5810,2571,2421,POINT (-4.78407 41.661),CENTRO,ZARATAN,0.0,0.0,0.0
Castilla León,Valladolid,Zarza (La),41.26155,-4.770861,758.8602,121,76,60,POINT (-4.770861 41.26155),SURESTE,ZARZA (LA),61.0,2.0,63.0
Castilla León,Zamora,Abezames,41.62556,-5.42627,734.6489999999999,78,45,43,POINT (-5.42627 41.62556),CAMPOS-PAN,ABEZAMES,0.0,0.0,0.0
Castilla León,Zamora,Alcañices,41.69968,-6.347962,800.8787,1170,573,549,POINT (-6.347962 41.69968),ALISTE,ALCANICES,372.0,17.0,389.0
Castilla León,Zamora,Alcubilla de Nogales,42.12698,-5.922181,780.9072,146,73,73,POINT (-5.922181 42.12698),BENAVENTE Y LOS VALLES,ALCUBILLA DE NOGALES,0.0,0.0,0.0
Castilla León,Zamora,Alfaraz de Sayago,41.22837,-5.984178,823.1807,166,93,80,POINT (-5.984178 41.22837),SAYAGO,ALFARAZ DE SAYAGO,2556.0,76.0,2632.0
Castilla León,Zamora,Algodre,41.56566,-5.604549,660.188,177,96,85,POINT (-5.604549 41.56566),CAMPOS-PAN,ALGODRE,10.0,0.0,10.0
Castilla León,Zamora,Almaraz de Duero,41.47585,-5.916526,724.4616,409,217,207,POINT (-5.916526 41.47585),CAMPOS-PAN,ALMARAZ DE DUERO,74.0,0.0,74.0
Castilla León,Zamora,Almeida de Sayago,41.26749,-6.075056,788.2532,562,294,283,POINT (-6.075056 41.26749),SAYAGO,ALMEIDA DE SAYAGO,0.0,0.0,0.0
Castilla León,Zamora,Andavías,41.59714,-5.861349,700.6663,483,244,234,POINT (-5.861349 41.59714),CAMPOS-PAN,ANDAVIAS,283.0,4.0,287.0
Castilla León,Zamora,Arcenillas,41.45603,-5.685144,701.8715,409,185,171,POINT (-5.685144 41.45603),BAJO DUERO,ARCENILLAS,14.0,833.0,847.0
Castilla León,Zamora,Arcos de la Polvorosa,41.94452,-5.697485,701.8065,262,140,125,POINT (-5.697484999999999 41.94452),BENAVENTE Y LOS VALLES,ARCOS DE LA POLVOROSA,53.0,0.0,53.0
Castilla León,Zamora,Argañín,41.43971,-6.2101510000000015,741.4979,80,38,40,POINT (-6.210151000000001 41.43971),SAYAGO,ARGANIN,0.0,0.0,0.0
Castilla León,Zamora,Argujillo,41.31175,-5.587892,767.8745,324,169,168,POINT (-5.587892 41.31175),BAJO DUERO,ARGUJILLO,96.0,22.0,118.0
Castilla León,Zamora,Arquillinos,41.7089,-5.65604,670.2195,133,79,62,POINT (-5.65604 41.7089),CAMPOS-PAN,ARQUILLINOS,68.0,0.0,68.0
Castilla León,Zamora,Arrabalde,42.10757,-5.89513,774.8352,279,138,156,POINT (-5.89513 42.10757),BENAVENTE Y LOS VALLES,ARRABALDE,0.0,0.0,0.0
Castilla León,Zamora,Aspariegos,41.67374,-5.598475,670.0681,298,144,153,POINT (-5.598475 41.67374),CAMPOS-PAN,ASPARIEGOS,157.0,0.0,157.0
Castilla León,Zamora,Asturianos,42.0513,-6.488429,968.9544,278,141,126,POINT (-6.488429 42.0513),SANABRIA,ASTURIANOS,354.0,2.0,356.0
Castilla León,Zamora,Ayoó de Vidriales,42.12857,-6.066718,796.757,366,207,190,POINT (-6.066718 42.12857),BENAVENTE Y LOS VALLES,AYOO DE VIDRIALES,0.0,0.0,0.0
Castilla León,Zamora,Barcial del Barco,41.9342,-5.664173,716.0553,279,152,128,POINT (-5.664173 41.9342),BENAVENTE Y LOS VALLES,BARCIAL DEL BARCO,0.0,334.0,334.0
Castilla León,Zamora,Belver de los Montes,41.72264000000001,-5.450851,691.9913,340,209,173,POINT (-5.450851 41.72264000000001),CAMPOS-PAN,BELVER DE LOS MONTES,56.0,487.0,543.0
Castilla León,Zamora,Benavente,42.00302,-5.67408,723.4604,19186,9356,9763,POINT (-5.67408 42.00302),BENAVENTE Y LOS VALLES,BENAVENTE,251.0,741.0,992.0
Castilla León,Zamora,Benegiles,41.62679,-5.63523,647.0,360,207,186,POINT (-5.63523 41.62679),CAMPOS-PAN,BENEGILES,0.0,87.0,87.0
Castilla León,Zamora,Bermillo de Sayago,41.36691,-6.112085,794.7465,1173,653,606,POINT (-6.112085 41.36691),SAYAGO,BERMILLO DE SAYAGO,1981.0,965.0,2946.0
Castilla León,Zamora,Bóveda de Toro (La),41.34445,-5.410796,706.0856,863,437,438,POINT (-5.410795999999999 41.34445),BAJO DUERO,BOVEDA DE TORO (LA),113.0,95.0,208.0
Castilla León,Zamora,Bretó,41.88187,-5.738333,695.6360000000002,199,117,95,POINT (-5.738333 41.88187),BENAVENTE Y LOS VALLES,BRETO,10.0,0.0,10.0
Castilla León,Zamora,Bretocino,41.88337,-5.75509,714.0786,250,140,119,POINT (-5.75509 41.88337),BENAVENTE Y LOS VALLES,BRETOCINO,0.0,0.0,0.0
Castilla León,Zamora,Brime de Sog,42.06126,-6.047415,764.0367,181,86,101,POINT (-6.047415 42.06126),BENAVENTE Y LOS VALLES,BRIME DE SOG,0.0,0.0,0.0
