Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,León,Urdiales del Páramo,42.37043,-5.773118,810.6698,1113,294,271,POINT (-5.773118 42.37043),EL PÁRAMO,Urdiales del Páramo
Castilla León,León,Val de San Lorenzo,42.41695,-6.1203970000000005,886.8989999999999,546,297,299,POINT (-6.120397000000001 42.41695),ASTORGA,Val de San Lorenzo
Castilla León,León,Valdefresno,42.59381,-5.492152,871.7318,579,1082,1009,POINT (-5.492152 42.59381),TIERRAS DE LEÓN,Valdefresno
Castilla León,León,Valdefuentes del Páramo,42.32334,-5.830119,786.8314,2037,182,149,POINT (-5.830119 42.32334),EL PÁRAMO,Valdefuentes del Páramo
Castilla León,León,Valdelugueros,42.97364,-5.412788,1194.567,361,270,193,POINT (-5.412788 42.97364),LA MONTAÑA DE RIAÑO,Valdelugueros
Castilla León,León,Valdemora,42.19477,-5.427226,777.1289999999999,511,40,51,POINT (-5.427226 42.19477),ESLA-CAMPOS,Valdemora
Castilla León,León,Valdepiélago,42.86868,-5.398154,1030.69,85,226,190,POINT (-5.398154 42.86868),LA MONTAÑA DE RIAÑO,Valdepiélago
Castilla León,León,Valdepolo,42.57626,-5.22613,873.5519,359,701,646,POINT (-5.22613 42.57626),TIERRAS DE LEÓN,Valdepolo
Castilla León,León,Valderas,42.07758,-5.442767,752.0427,1332,1031,1007,POINT (-5.442767 42.07758),ESLA-CAMPOS,Valderas
Castilla León,León,Valderrey,42.39484,-6.018861,830.6566,1946,248,269,POINT (-6.018861 42.39484),ASTORGA,Valderrey
Castilla León,León,Valderrueda,42.81544,-4.948068,1023.137,487,526,488,POINT (-4.948068 42.81544),LA MONTAÑA DE RIAÑO,Valderrueda
Castilla León,León,Valdesamario,42.72149,-5.952188,1021.253,975,117,97,POINT (-5.952188 42.72149),ASTORGA,Valdesamario
Castilla León,León,Valdevimbre,42.420809999999996,-5.622447,810.7202,218,561,517,POINT (-5.622447 42.42081),EL PÁRAMO,Valdevimbre
Castilla León,León,Valencia de Don Juan,42.29401,-5.519861,767.8869,1022,2505,2578,POINT (-5.519861 42.29401),ESLA-CAMPOS,Valencia de Don Juan
Castilla León,León,Vallecillo,42.35655,-5.2117379999999995,846.0903,5112,70,59,POINT (-5.211738 42.35655),SAHAGÚN,Vallecillo
Castilla León,León,Valverde-Enrique,42.30505,-5.299965,833.2962,134,105,94,POINT (-5.299965 42.30505),ESLA-CAMPOS,Valverde-Enrique
Castilla León,León,Valverde de la Virgen,42.56865,-5.6837480000000005,890.2882,7021,3240,3187,POINT (-5.683748 42.56865),TIERRAS DE LEÓN,Valverde de la Virgen
Castilla León,León,Vecilla (La),42.84916,-5.4057949999999995,1009.372,188,221,216,POINT (-5.405794999999999 42.84916),LA MONTAÑA DE RIAÑO,Vecilla (La)
Castilla León,León,Vega de Espinareda,42.726009999999995,-6.655013,607.2139,417,1264,1239,POINT (-6.655013 42.72601),BIERZO,Vega de Espinareda
Castilla León,León,Vega de Infanzones,42.48265,-5.533533,780.0,2424,463,466,POINT (-5.533533 42.48265),ESLA-CAMPOS,Vega de Infanzones
Castilla León,León,Vega de Valcarce,42.66407,-6.945935,629.737,920,376,349,POINT (-6.945935 42.66407),BIERZO,Vega de Valcarce
Castilla León,León,Vegacervera,42.886359999999996,-5.534939,1046.433,711,181,173,POINT (-5.534939 42.88636),LA MONTAÑA DE RIAÑO,Vegacervera
Castilla León,León,Vegaquemada,42.8185,-5.332815,938.0208,347,238,232,POINT (-5.332815 42.8185),LA MONTAÑA DE RIAÑO,Vegaquemada
Castilla León,León,Vegas del Condado,42.68404,-5.3666730000000005,862.0,464,679,584,POINT (-5.366673 42.68404),TIERRAS DE LEÓN,Vegas del Condado
Castilla León,León,Villablino,42.93821,-6.320078,989.2762,1183,5291,5369,POINT (-6.320078 42.93821),LA MONTAÑA DE LUNA,Villablino
Castilla León,León,Villabraz,42.24592,-5.447141,847.0239,10238,70,57,POINT (-5.447141 42.24592),ESLA-CAMPOS,Villabraz
Castilla León,León,Villadangos del Páramo,42.517509999999994,-5.766411,899.3542,113,587,554,POINT (-5.766411 42.51750999999999),EL PÁRAMO,Villadangos del Páramo
Castilla León,León,Villadecanes,42.57994,-6.759442999999999,526.6855,1123,1099,1097,POINT (-6.759442999999999 42.57994),BIERZO,Villadecanes
Castilla León,León,Villademor de la Vega,42.27039,-5.569057,748.9046,390,213,184,POINT (-5.569057 42.27039),ESLA-CAMPOS,Villademor de la Vega
Castilla León,León,Villafranca del Bierzo,42.60765,-6.807747999999999,518.9436,3424,1696,1785,POINT (-6.807747999999999 42.60765),BIERZO,Villafranca del Bierzo
Castilla León,León,Villagatón,42.6349,-6.162189,1015.7180000000001,636,333,332,POINT (-6.162189 42.6349),ASTORGA,Villagatón
Castilla León,León,Villamañán,42.3217,-5.582248,762.7079,320,636,661,POINT (-5.582248 42.3217),ESLA-CAMPOS,Villamañán
Castilla León,León,Villamandos,42.17973,-5.590787000000001,727.7506,1104,175,166,POINT (-5.590787000000001 42.17973),ESLA-CAMPOS,Villamandos
Castilla León,León,Villamanín,42.9384,-5.655591,1138.44,1269,573,552,POINT (-5.655591 42.9384),LA MONTAÑA DE LUNA,Villamanín
Castilla León,León,Villamartín de Don Sancho,42.568529999999996,-5.058353,892.331,158,86,67,POINT (-5.058353 42.56853),TIERRAS DE LEÓN,Villamartín de Don Sancho
Castilla León,León,Villamejil,42.56238,-6.023193,909.9926,775,409,406,POINT (-6.023193 42.56238),ASTORGA,Villamejil
Castilla León,León,Villamol,42.42696,-5.0468779999999995,819.0361,180,97,97,POINT (-5.046878 42.42696),SAHAGÚN,Villamol
Castilla León,León,Villamontán de la Valduerna,42.30983,-5.995912000000001,822.5558,859,473,444,POINT (-5.995912000000001 42.30983),LA BAÑEZA,Villamontán de la Valduerna
Castilla León,León,Villamoratiel de las Matas,42.39805,-5.30069,845.7986,155,97,69,POINT (-5.30069 42.39805),ESLA-CAMPOS,Villamoratiel de las Matas
Castilla León,León,Villanueva de las Manzanas,42.47071,-5.479661,780.3629,525,276,275,POINT (-5.479661 42.47071),ESLA-CAMPOS,Villanueva de las Manzanas
Castilla León,León,Villaobispo de Otero,42.500240000000005,-6.058351999999999,868.2292,652,336,304,POINT (-6.058351999999999 42.50024000000001),ASTORGA,Villaobispo de Otero
Castilla León,León,Villaornate y Castro,42.18473,-5.549681,737.9659,402,219,199,POINT (-5.549681 42.18473),ESLA-CAMPOS,Villaornate y Castro
Castilla León,León,Villaquejida,42.145140000000005,-5.597562,724.3493,976,515,477,POINT (-5.597562 42.14514),ESLA-CAMPOS,Villaquejida
Castilla León,León,Villaquilambre,42.63885,-5.5575849999999996,864.2917,18054,8494,8519,POINT (-5.557585 42.63885),TIERRAS DE LEÓN,Villaquilambre
Castilla León,León,Villarejo de Órbigo,42.44614,-5.904218,816.7586,3223,1619,1694,POINT (-5.904218 42.44614),ASTORGA,Villarejo de Órbigo
Castilla León,León,Villares de Órbigo,42.47118,-5.913153,831.3205,704,381,357,POINT (-5.913153 42.47118),ASTORGA,Villares de Órbigo
Castilla León,León,Villasabariego,42.533590000000004,-5.413929,851.8769,1248,652,588,POINT (-5.413929 42.53359),ESLA-CAMPOS,Villasabariego
Castilla León,León,Villaselán,42.56092,-5.047582,862.9064,226,134,110,POINT (-5.047582 42.56092),SAHAGÚN,Villaselán
Castilla León,León,Villaturiel,42.51855,-5.485187000000001,797.6174,1955,1004,892,POINT (-5.485187000000001 42.51855),ESLA-CAMPOS,Villaturiel
Castilla León,León,Villazala,42.361259999999994,-5.8546,799.6208,781,443,401,POINT (-5.8546 42.36125999999999),EL PÁRAMO,Villazala
